105 128 | First point = 41 206 | Total Steps until valid point = 91779
123 135 | First point = 60 63 | Total Steps until valid point = 126916
135 122 | First point = 213 165 | Total Steps until valid point = 42842
104 132 | First point = 222 13 | Total Steps until valid point = 20148
120 110 | First point = 78 52 | Total Steps until valid point = 14145
125 118 | First point = 113 161 | Total Steps until valid point = 82054
105 135 | First point = 90 224 | Total Steps until valid point = 36301
105 127 | First point = 249 63 | Total Steps until valid point = 46693
104 137 | First point = 108 24 | Total Steps until valid point = 113314
138 127 | First point = 164 2 | Total Steps until valid point = 65444
137 129 | First point = 189 29 | Total Steps until valid point = 91231
104 127 | First point = 92 151 | Total Steps until valid point = 43411
109 136 | First point = 160 236 | Total Steps until valid point = 8508
106 125 | First point = 161 243 | Total Steps until valid point = 94796
124 135 | First point = 211 163 | Total Steps until valid point = 22076
136 122 | First point = 92 34 | Total Steps until valid point = 13565
106 124 | First point = 157 208 | Total Steps until valid point = 108752
103 137 | First point = 129 84 | Total Steps until valid point = 19638
106 138 | First point = 5 45 | Total Steps until valid point = 49791
131 116 | First point = 220 148 | Total Steps until valid point = 20536
136 121 | First point = 130 101 | Total Steps until valid point = 369
119 118 | First point = 182 231 | Total Steps until valid point = 59623
109 137 | First point = 96 46 | Total Steps until valid point = 108863
119 135 | First point = 55 240 | Total Steps until valid point = 6866
105 138 | First point = 33 103 | Total Steps until valid point = 30670
118 111 | First point = 60 117 | Total Steps until valid point = 2321
139 127 | First point = 208 122 | Total Steps until valid point = 50417
137 123 | First point = 36 244 | Total Steps until valid point = 74721
120 133 | First point = 84 57 | Total Steps until valid point = 74421
137 130 | First point = 239 244 | Total Steps until valid point = 37349
117 114 | First point = 126 249 | Total Steps until valid point = 143843
118 134 | First point = 192 101 | Total Steps until valid point = 24680
138 123 | First point = 13 88 | Total Steps until valid point = 67293
126 112 | First point = 204 176 | Total Steps until valid point = 91527
132 116 | First point = 170 96 | Total Steps until valid point = 893
114 127 | First point = 55 31 | Total Steps until valid point = 41716
111 135 | First point = 102 178 | Total Steps until valid point = 7561
138 130 | First point = 232 193 | Total Steps until valid point = 62240
117 118 | First point = 98 129 | Total Steps until valid point = 269
137 122 | First point = 35 165 | Total Steps until valid point = 54906
140 127 | First point = 89 93 | Total Steps until valid point = 56394
103 131 | First point = 103 242 | Total Steps until valid point = 7820
117 119 | First point = 81 2 | Total Steps until valid point = 87108
124 136 | First point = 175 13 | Total Steps until valid point = 13623
139 128 | First point = 50 122 | Total Steps until valid point = 8504
138 131 | First point = 21 148 | Total Steps until valid point = 140355
133 129 | First point = 28 69 | Total Steps until valid point = 58414
123 112 | First point = 228 170 | Total Steps until valid point = 77174
103 133 | First point = 158 220 | Total Steps until valid point = 287947
103 136 | First point = 94 136 | Total Steps until valid point = 176
120 109 | First point = 60 248 | Total Steps until valid point = 125126
119 136 | First point = 47 237 | Total Steps until valid point = 88452
138 122 | First point = 202 103 | Total Steps until valid point = 11386
125 136 | First point = 68 142 | Total Steps until valid point = 42686
117 111 | First point = 120 42 | Total Steps until valid point = 11599
118 110 | First point = 75 237 | Total Steps until valid point = 29673
123 136 | First point = 217 64 | Total Steps until valid point = 26381
105 139 | First point = 113 176 | Total Steps until valid point = 62704
126 111 | First point = 187 222 | Total Steps until valid point = 39255
102 137 | First point = 206 44 | Total Steps until valid point = 80090
132 115 | First point = 239 117 | Total Steps until valid point = 78956
137 121 | First point = 169 124 | Total Steps until valid point = 60006
125 137 | First point = 215 174 | Total Steps until valid point = 42284
119 110 | First point = 44 139 | Total Steps until valid point = 81859
141 127 | First point = 199 114 | Total Steps until valid point = 3736
135 121 | First point = 81 128 | Total Steps until valid point = 72900
119 109 | First point = 159 235 | Total Steps until valid point = 132923
